6.000000000000000000e+00 1.350263047143493322e+00 1.513910936816733166e+00
1.200000000000000000e+01 1.510418559194399934e+00 1.659757175666909390e+00
1.800000000000000000e+01 1.577119378968805163e+00 1.727740670555724556e+00
2.400000000000000000e+01 1.615608892885512571e+00 1.768543388730719146e+00
3.000000000000000000e+01 1.641306736142769118e+00 1.796355519514254429e+00
3.600000000000000000e+01 1.659962102249190607e+00 1.816812126048059195e+00
4.200000000000000000e+01 1.674264326646690115e+00 1.832640755597592763e+00
4.800000000000000000e+01 1.685659097720682897e+00 1.845339891610100258e+00
5.400000000000000000e+01 1.695000908275085205e+00 1.855808815727899130e+00
6.000000000000000000e+01 1.702830992380434560e+00 1.864623620532716464e+00
