6.000000000000000000e+00 1.340295603648346212e+00 1.605918689323155624e+00
1.200000000000000000e+01 1.535026316730833562e+00 1.771506613883347070e+00
1.800000000000000000e+01 1.592573151393086972e+00 1.798986532915049619e+00
2.400000000000000000e+01 1.685799118289087239e+00 1.918031506526218566e+00
3.000000000000000000e+01 1.689065298380462377e+00 1.897312850898708492e+00
3.600000000000000000e+01 1.713043278857126150e+00 1.923735656847625375e+00
4.200000000000000000e+01 1.709644425268056489e+00 1.906296023508592841e+00
4.800000000000000000e+01 1.768998476014598253e+00 1.983570442437223580e+00
5.400000000000000000e+01 1.754040476231943479e+00 1.959528897832116590e+00
6.000000000000000000e+01 1.785106393292513971e+00 1.999602363319489484e+00
