1.000000000000000000e+00 3.780000000000000000e+02
2.000000000000000000e+00 3.610000000000000000e+02
3.000000000000000000e+00 1.700000000000000000e+01
4.000000000000000000e+00 1.500000000000000000e+01
5.000000000000000000e+00 1.000000000000000000e+01
6.000000000000000000e+00 9.000000000000000000e+00
7.000000000000000000e+00 5.000000000000000000e+00
8.000000000000000000e+00 5.000000000000000000e+00
9.000000000000000000e+00 3.000000000000000000e+00
1.000000000000000000e+01 2.000000000000000000e+00
1.100000000000000000e+01 2.000000000000000000e+00
1.200000000000000000e+01 2.000000000000000000e+00
