1.000000000000000000e+00 3.753000000000000000e+03
2.000000000000000000e+00 2.982000000000000000e+03
3.000000000000000000e+00 6.690000000000000000e+02
4.000000000000000000e+00 4.590000000000000000e+02
5.000000000000000000e+00 1.940000000000000000e+02
6.000000000000000000e+00 1.340000000000000000e+02
7.000000000000000000e+00 6.200000000000000000e+01
8.000000000000000000e+00 3.800000000000000000e+01
9.000000000000000000e+00 1.900000000000000000e+01
1.000000000000000000e+01 1.000000000000000000e+01
1.100000000000000000e+01 5.000000000000000000e+00
1.200000000000000000e+01 3.000000000000000000e+00
1.300000000000000000e+01 2.000000000000000000e+00
